month_start,vertical,active_customers,prior_month_active_customers,mom_growth_pct
2026-03-01,HVAC,4821,4612,4.5
2026-03-01,Plumbing,3994,3876,3.0
2026-03-01,Electrical,2108,2215,-4.8
2026-03-01,Landscaping,1847,1203,53.5
2026-03-01,Cleaning,1432,1389,3.1
2026-02-01,HVAC,4612,4487,2.8
2026-02-01,Plumbing,3876,3901,-0.6
2026-02-01,Electrical,2215,2180,1.6
2026-02-01,Landscaping,1203,892,34.9
2026-02-01,Cleaning,1389,1356,2.4
2026-01-01,HVAC,4487,4390,2.2
2026-01-01,Plumbing,3901,3823,2.0
2026-01-01,Electrical,2180,2097,4.0
2026-01-01,Landscaping,892,671,32.9
2026-01-01,Cleaning,1356,1298,4.5
2025-12-01,HVAC,4390,4451,-1.4
2025-12-01,Plumbing,3823,3756,1.8
2025-12-01,Electrical,2097,2134,-1.7
2025-12-01,Landscaping,671,428,56.8
2025-12-01,Cleaning,1298,1221,6.3
2025-11-01,HVAC,4451,4312,3.2
2025-11-01,Plumbing,3756,3698,1.6
2025-11-01,Electrical,2134,2089,2.2
2025-11-01,Landscaping,428,312,37.2
2025-11-01,Cleaning,1221,1187,2.9
2025-10-01,HVAC,4312,,
2025-10-01,Plumbing,3698,,
2025-10-01,Electrical,2089,,
2025-10-01,Landscaping,312,,
2025-10-01,Cleaning,1187,,
